date,title,budget ,domestic_gross,world_gross
2000-01-12,Next Friday,9500000,57176582,59675307
2000-01-12,My Dog Skip,7000000,34099640,35795319
2000-01-14,Supernova,60000000,14218868,14816494
2000-01-21,Down to You,9000000,20035310,20035310
2000-01-28,Eye of the Beholder,15000000,16500786,18260865
2000-02-04,Scream 3,40000000,89138076,161838076
2000-02-11,Snow Day,13000000,60008303,62452927
2000-02-11,The Tigger Movie,20000000,45542421,96147688
2000-02-11,The Beach,50000000,39778599,39778599
2000-02-18,The Whole Nine Yards,24000000,57262492,85527867
2000-02-18,Pitch Black,23000000,39235088,53182088
2000-02-18,Hanging Up,40000000,36037909,51867723
2000-02-18,Boiler Room,9000000,16963963,28773637
2000-02-23,Wonder Boys,35000000,19389454,33422485
2000-02-25,Reindeer Games,36000000,23360779,23360779
2000-03-03,Drowning Mona,16000000,15427192,15980376
2000-03-03,The Next Best Thing,25000000,14983572,24355762
2000-03-10,Mission to Mars,90000000,60874615,106000000
2000-03-10,The Ninth Gate,38000000,18653746,58394308
2000-03-17,Erin Brockovich,50000000,125548685,257805243
2000-03-17,Final Destination,23000000,53302314,112036870
2000-03-22,Romeo Must Die,25000000,55973336,91036760
2000-03-24,Here on Earth,15000000,10494147,10845127
2000-03-31,The Road to El Dorado,95000000,50802661,65700000
2000-03-31,The Skulls,15000000,35007180,35007180
2000-03-31,High Fidelity,20000000,27277055,47881663
2000-04-07,Rules of Engagement,60000000,61322858,71719931
2000-04-07,Return to Me,24000000,32662299,32662299
2000-04-07,Ready to Rumble,24000000,12372410,12372410
2000-04-14,Keeping the Faith,29000000,37036404,45336404
2000-04-14,28 Days,43000000,37035515,62063972
2000-04-14,American Psycho,8000000,15070285,34270285
2000-04-21,U-571,62000000,77086030,127630030
2000-04-21,Love and Basketball,15000000,27441122,27709625
2000-04-28,Frequency,31000000,44983704,68079671
2000-04-28,The Flintstones in Viva Rock Vegas,58000000,35231365,59431365
2000-04-28,Where the Heart Is,15000000,33771174,40862054
2000-05-05,Gladiator,103000000,187683805,457683805
2000-05-05,Michael Jordan to the MAX,7000000,18642318,18642318
2000-05-12,Battlefield Earth: A Saga of the Year 3000,80000000,21471685,29725663
2000-05-12,Center Stage,18000000,17200925,21361109
2000-05-19,Dinosaur,127000000,137748063,356148063
2000-05-19,Road Trip,16000000,68525609,119739110
2000-05-19,Small Time Crooks,18000000,17266359,29934477
2000-05-24,Mission: Impossible 2,120000000,215409889,549588516
2000-05-26,Shanghai Noon,55000000,56932305,71189835
2000-06-02,Big Mommas House,33000000,117559438,173559438
2000-06-09,Gone in 60 Seconds,103000000,101643008,232643008
2000-06-16,Shaft,53000000,70327868,107190108
2000-06-16,Titan A.E.,75000000,22751979,36751979
2000-06-16,Boys and Girls,16000000,21799652,21799652
2000-06-21,Chicken Run,42000000,106793915,227793915
2000-06-23,"Me, Myself & Irene",51000000,90570999,149270999
2000-06-28,The Patriot,110000000,113330342,215300000
2000-06-30,The Perfect Storm,120000000,182618434,328711434
2000-06-30,The Adventures of Rocky & Bullwinkle,75000000,26000610,35129610
2000-07-07,Scary Movie,19000000,157019771,277200000
2000-07-07,The Kid,65000000,69688384,69688384
2000-07-14,X-Men,75000000,157299717,296872367
2000-07-21,What Lies Beneath,90000000,155464351,288693989
2000-07-21,Pokemon 2000,30000000,43746923,133946923
2000-07-21,Loser,20000000,15464026,18250106
2000-07-26,Thomas and the Magic Railroad,19000000,15911332,15911332
2000-07-28,Nutty Professor II: The Klumps,84000000,123307945,166307945
2000-08-04,Space Cowboys,65000000,90454043,128874043
2000-08-04,Hollow Man,90000000,73209340,191200000
2000-08-04,Coyote Ugly,45000000,60786269,113916474
2000-08-04,Saving Grace,4000000,12178602,27786849
2000-08-11,The Replacements,50000000,44737059,50054511
2000-08-11,Autumn in New York,40000000,37752931,90717684
2000-08-11,Bless the Child,40000000,29374178,40435694
2000-08-18,The Cell,35000000,61280963,85911226
2000-08-18,Godzilla 2000,1000000,10037390,10037390
2000-08-25,Bring it On,10000000,68353550,90453550
2000-08-25,The Art of War,40000000,30199105,30199105
2000-08-25,The Crew,23000000,13019253,13019253
2000-09-01,Highlander: Endgame,15000000,12801190,12801190
2000-09-08,The Watcher,33000000,28946615,47267829
2000-09-08,Nurse Betty,24000000,25170054,27732366
2000-09-15,Almost Famous,60000000,32522352,47371191
2000-09-15,Bait,35000000,15325127,15471969
2000-09-22,Urban Legends: Final Cut,15000000,21468807,38574362
2000-09-27,Best in Show,6000000,18621249,20695413
2000-09-29,Remember the Titans,30000000,115654751,136706683
2000-10-06,Meet the Parents,55000000,166225040,330425040
2000-10-06,Get Carter,40000000,14967182,19417182
2000-10-13,Billy Elliot,5000000,21995263,109253745
2000-10-13,The Contender,9000000,17804273,17804273
2000-10-13,Lost Souls,28000000,16779636,31320293
2000-10-13,The Ladies Man,11000000,13592872,13719474
2000-10-20,Bedazzled,48000000,37879996,90376224
2000-10-20,Pay it Forward,40000000,33508922,55696705
2000-10-20,The Legend of Drunken Master,10000000,11546543,11546543
